"description","units","source_key","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01"
"Connecticut : transportation","number of customers","ELEC.CUSTOMERS.CT-TRA.M","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4",\0,\0,\0,\0,\0,"3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"Connecticut : other","number of customers","ELEC.CUSTOMERS.CT-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Maine","number of customers","ELEC.CUSTOMERS.ME-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Maine : all sectors","number of customers","ELEC.CUSTOMERS.ME-ALL.M","803714","803977","802583","803274","777976","808274","807323","805204","807783","804586","755581","811222","809628","781599","812435","783400","813814","812341","783097","815045","811628","784641","782429","813528","811767","752120","813733","809829","816855","816797","816439","817284","817559","817140","816633","816515","817872","787491","819334","815206","819519","818655","784373","823707","790880","823051","789837","817813","819051","788176","820703","796780","825525","794753","828914","828338","799058","829695","802259","828727","856794","738073","832584","829771","802584","833321","831937","828922","830424","832448","774663","822245","826945","787426","837150","833172","804705","838538","800703","839666","837716","814474","810506","843056","843355","809594","822947","818222","852450","853761","820267","855871","853885","829757","821025","855917","856385","824828","834391","796605","859892","857841","831855","855865","831671","863082","851256","851216","851631","846976","857922"
"Maine : residential","number of customers","ELEC.CUSTOMERS.ME-RES.M","703382","703583","702745","702880","680527","707165","706182","704286","706642","703478","660520","709502","707879","683018","710304","684896","711498","710173","683168","711397","709464","685754","683385","710915","709414","656817","711186","708485","713802","713515","712985","713670","713907","713500","713127","713090","717177","690282","718718","716620","719091","718571","690777","721482","693715","721586","692709","717463","716619","689754","717991","695791","721875","694205","724335","723734","697969","724667","699787","723699","753197","645242","727550","724821","700810","730809","730840","731037","731000","732517","680237","722645","724682","687424","734410","732614","707332","737516","703732","737821","735683","713800","710410","739032","739138","707008","718234","711787","741436","742426","712753","744097","741629","720947","713351","743858","744157","714013","723451","693572","747160","746530","723210","744546","721450","748943","739413","739388","737768","737069","744764"
"Maine : commercial","number of customers","ELEC.CUSTOMERS.ME-COM.M","97325","97378","96823","97374","94586","98077","98122","97885","98106","98080","92275","98654","98706","95632","99047","95555","99231","99080","96978","100550","99077","95945","96083","99494","99242","92503","99422","98281","99927","100151","100328","100474","100515","100494","100360","100282","97481","94166","97392","95453","97320","97036","90670","99134","94262","98340","94191","97337","99325","95523","99634","97999","100604","97808","101684","101739","98379","102168","99755","102221","100751","90310","102230","102182","99133","99741","98349","95192","96724","97237","91975","97066","99732","97489","100138","97949","94923","98452","94599","99309","99539","98264","97697","101535","101940","100418","102552","104345","108781","109129","105432","109582","110093","106725","105607","109919","110076","108714","108822","101110","110672","109278","106672","109227","108204","112106","109842","109827","111827","107948","111218"
"Maine : industrial","number of customers","ELEC.CUSTOMERS.ME-IND.M","3007","3016","3015","3020","2863","3032","3019","3033","3035","3028","2786","3066","3043","2949","3084","2949","3085","3088","2951","3098","3087","2942","2961","3119","3111","2800","3125","3063","3126","3131","3126","3140","3137","3146","3146","3143","3214","3043","3224","3133","3108","3048","2926","3091","2903","3125","2937","3013","3107","2899","3078","2990","3046","2740","2895","2865","2710","2860","2717","2807","2846","2521","2804","2768","2641","2771","2748","2693","2700","2694","2451","2534","2531","2513","2602","2609","2450","2570","2372","2536","2494","2410","2399","2489","2277","2168","2161","2090","2233","2206","2082","2192","2163","2085","2067","2140","2152","2101","2118","1923","2060","2033","1973","2092","2017","2033","2001","2001","2036","1959","1940"
"Maine : transportation","number of customers","ELEC.CUSTOMERS.ME-TRA.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Maine : other","number of customers","ELEC.CUSTOMERS.ME-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Massachusetts","number of customers","ELEC.CUSTOMERS.MA-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
