"description","units","source_key","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01"
"Texas : industrial","number of customers","ELEC.CUSTOMERS.TX-IND.M","97914","101493","102666","104227","105413","107616","108834","108766","108020","109618","108503","108176","109983","104771","104216","104120","108243","107920","107325","106305","104592","103273","103153","102795","111243","111829","113012","113688","116869","117343","118269","118211","115475","114605","114018","113778","122670","121480","121439","121497","128539","130074","129547","130062","127476","125897","123416","126415","221977","221182","220459","224572","228264","235765","240887","238696","239563","239182","236816","241737","251950","251749","255579","258229","259842","265371","268224","269625","270411","269461","271268","277799","282534","279328","286155","289624","288995","294960","296353","298992","300361","296104","300246","302732","307746","307557","311774","315068","318297","324865","324508","331598","331100","331760","330519","330607","337871","338580","340852","340203","348319","348232","347884","351305","351594","353288","352728","353952","351366","353892","361039"
"Texas : transportation","number of customers","ELEC.CUSTOMERS.TX-TRA.M","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2"
"Texas : other","number of customers","ELEC.CUSTOMERS.TX-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Mountain","number of customers","ELEC.CUSTOMERS.MTN-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Mountain : all sectors","number of customers","ELEC.CUSTOMERS.MTN-ALL.M","10810100","10830100","10837600","10830300","10836800","10846500","10860200","10868200","10884200","10895900","10909700","10936000","10973100","10965300","10976500","10971800","10977700","10994500","11001500","11021100","11035800","11040000","11060200","11083300","11205600","11210500","11226900","11216100","11231600","11244700","11252100","11275800","11249300","11300000","11313300","11348300","11280300","11288800","11300800","11303000","11316700","11333500","11235700","11360300","11370000","11393400","11414000","11435000","11452500","11462200","11475700","11477500","11491700","11500000","11518500","11538800","11556700","11578200","11595900","11618300","11631900","11637100","11650000","11658500","11664800","11686000","11701800","11715100","11734900","11759600","11772600","11799800","11831700","11840500","11864000","11882700","11888900","11911400","11928300","11942600","11961400","11978900","11999800","12025200","12042400","12053000","12093500","12077900","12093300","12115600","12125300","12143200","12163900","12182100","12204500","12227100","12081300","12089700","12112600","12107400","12123200","12127200","12159000","12176400","12191100","12214000","12235100","12255000","12271500","12290700","12308000"
"Mountain : residential","number of customers","ELEC.CUSTOMERS.MTN-RES.M","9351160","9370700","9377620","9367350","9370680","9377280","9389060","9395950","9409700","9423980","9441280","9466980","9506440","9499050","9505470","9496970","9499860","9511540","9517310","9534520","9547450","9554310","9576530","9600610","9720400","9723780","9738050","9725800","9737640","9745180","9751830","9773900","9753590","9798220","9817640","9850970","9779620","9787640","9797940","9796330","9805780","9818610","9720890","9844260","9854400","9877970","9901720","9920840","9937300","9947350","9957940","9956760","9964900","9969920","9986200","10002800","10019200","10041500","10061800","10086500","10093300","10099400","10108400","10114700","10118700","10136600","10150500","10161300","10180000","10206000","10221200","10248700","10275700","10287400","10307400","10320100","10323400","10340600","10355900","10368500","10386700","10405300","10427600","10451400","10469800","10480500","10512900","10495500","10510100","10525500","10535800","10552900","10570900","10591700","10615700","10638200","10501900","10509600","10529400","10524100","10533900","10537000","10564700","10579600","10594800","10617200","10640300","10658100","10673500","10690500","10704500"
"Mountain : commercial","number of customers","ELEC.CUSTOMERS.MTN-COM.M","1369380","1369690","1368160","1369470","1370580","1371970","1373390","1374430","1376930","1375480","1375150","1376690","1374580","1373970","1378290","1380320","1381840","1385290","1385920","1388020","1390140","1389460","1389990","1389760","1392580","1393990","1395500","1395520","1397240","1400810","1401350","1402730","1397240","1405220","1401990","1403930","1407210","1408380","1409800","1412020","1414840","1417190","1416640","1417330","1417300","1418810","1419020","1420760","1422430","1422490","1424980","1425980","1430180","1431920","1431960","1435440","1437440","1438520","1438830","1436470","1443500","1442520","1445340","1446730","1447210","1449040","1450580","1452860","1454000","1454700","1455160","1454630","1461590","1458710","1461670","1465720","1466840","1470340","1471440","1472880","1473860","1474820","1475830","1477340","1477000","1476740","1484370","1484660","1483540","1488950","1488180","1488420","1491440","1490940","1491770","1491710","1481640","1482440","1485180","1484150","1488480","1487990","1491120","1493730","1493640","1495640","1495700","1498070","1499980","1502050","1505450"
"Mountain : industrial","number of customers","ELEC.CUSTOMERS.MTN-IND.M","89545","89731","91858","93518","95552","97247","97721","97781","97601","96420","93281","92334","92052","92255","92725","94547","95985","97623","98261","98513","98166","96171","93635","92948","92571","92765","93355","94771","96723","98746","98872","99186","98446","96578","93680","93352","93419","92817","93056","94606","96071","97726","98160","98678","98296","96598","93285","93374","92753","92371","92729","94715","96570","98199","100290","100564","100097","98177","95260","95319","95064","95092","96243","97044","98880","100317","100714","100970","100852","98864","96171","96463","94408","94436","95012","96823","98645","100475","100928","101123","100771","98797","96358","96396","95593","95721","96275","97680","99623","101140","101357","101881","101581","99524","97059","97167","97734","97637","97976","99213","100798","102229","103190","103074","102723","101205","99091","98877","98037","98111","98098"
"Mountain : transportation","number of customers","ELEC.CUSTOMERS.MTN-TRA.M","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Mountain : other","number of customers","ELEC.CUSTOMERS.MTN-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Arizona","number of customers","ELEC.CUSTOMERS.AZ-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Arizona : all sectors","number of customers","ELEC.CUSTOMERS.AZ-ALL.M","3013630","3016460","3014950","3002230","2998270","2997740","3002100","3002240","3009100","3017380","3027510","3039250","3060170","3051560","3050540","3039730","3036810","3037920","3042950","3043100","3053280","3057640","3068200","3080170","3091360","3092320","3094830","3082770","3081290","3084840","3085490","3091670","3068390","3104190","3113730","3125650","3130290","3134030","3134580","3125910","3125160","3126550","3128200","3132160","3139890","3149380","3161420","3171740","3175780","3177750","3180540","3171620","3170760","3172720","3177100","3185430","3193620","3204330","3215550","3222090","3223520","3226140","3222570","3221590","3221490","3224090","3227620","3234430","3241660","3251590","3258600","3268600","3277600","3281160","3283250","3283860","3283560","3287710","3292460","3296150","3304720","3313300","3323940","3333240","3346030","3348420","3351330","3347280","3343650","3349570","3354960","3358670","3369610","3378500","3388130","3398610","3369070","3371890","3376320","3371440","3373160","3373130","3379990","3385480","3394520","3404130","3414510","3421250","3424540","3432190","3436090"
"Arizona : residential","number of customers","ELEC.CUSTOMERS.AZ-RES.M","2692670","2695130","2693360","2680160","2675920","2675270","2679210","2679210","2686020","2694110","2704030","2715610","2735700","2726760","2725520","2714070","2710770","2711430","2716330","2716260","2725520","2730520","2740740","2752470","2764120","2764820","2766840","2755020","2752980","2754760","2755600","2761510","2743980","2772250","2784400","2795980","2801760","2805060","2805840","2796760","2795720","2796490","2798270","2801860","2809460","2818840","2830800","2839350","2845290","2847400","2849350","2840400","2837010","2838310","2842460","2848910","2856490","2867230","2878040","2887290","2885980","2888910","2885040","2883770","2883610","2885630","2888850","2894690","2901900","2911380","2918250","2928030","2936110","2939880","2941750","2941460","2940930","2944180","2948810","2953040","2961160","2969550","2979880","2989120","2998810","3002510","3004630","2998790","2998320","3001930","3006820","3012010","3020360","3029230","3038510","3048790","3022030","3024680","3028280","3023580","3022850","3024560","3030780","3035940","3044020","3053940","3064570","3070520","3073910","3080740","3084290"
"Arizona : commercial","number of customers","ELEC.CUSTOMERS.AZ-COM.M","313389","313765","313871","314239","314509","314622","315066","315188","315247","315479","315754","315935","316567","316861","317016","317525","317871","318325","318444","318618","319489","318928","319219","319499","319170","319395","319785","319479","320030","321794","321661","321942","316441","323851","321356","321777","320637","321104","320870","321261","321573","322184","322116","322497","322647","322809","323038","324854","322612","322498","323362","323329","325788","326471","326609","328509","329155","329181","329709","327064","329974","329648","329891","330193","330190","330811","331133","332110","332168","332670","332815","333107","334028","333803","333985","334798","335018","335899","336037","335516","335966","336223","336568","336658","339409","338083","338838","340628","337476","339795","340315","338833","341441","341525","341907","342134","339863","340039","340824","340605","343083","341332","341955","342344","343310","343057","342829","343655","343569","344364","344735"
"Arizona : industrial","number of customers","ELEC.CUSTOMERS.AZ-IND.M","7568","7559","7721","7826","7842","7851","7828","7841","7834","7793","7718","7703","7902","7940","8001","8136","8169","8156","8176","8216","8262","8189","8234","8194","8069","8104","8200","8275","8282","8283","8227","8220","7965","8085","7979","7894","7888","7872","7864","7890","7865","7872","7814","7798","7778","7729","7575","7532","7870","7845","7828","7897","7965","7943","8025","8003","7972","7918","7790","7737","7567","7579","7631","7622","7687","7641","7632","7627","7589","7537","7536","7461","7465","7471","7507","7604","7606","7635","7612","7592","7588","7533","7494","7462","7801","7820","7857","7863","7854","7842","7831","7828","7809","7742","7709","7683","7179","7169","7206","7247","7232","7227","7248","7192","7188","7122","7102","7074","7061","7085","7063"
"Arizona : transportation","number of customers","ELEC.CUSTOMERS.AZ-TRA.M","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Arizona : other","number of customers","ELEC.CUSTOMERS.AZ-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Colorado","number of customers","ELEC.CUSTOMERS.CO-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Colorado : all sectors","number of customers","ELEC.CUSTOMERS.CO-ALL.M","2592910","2595650","2599800","2601920","2603660","2606390","2607500","2611190","2613420","2616850","2618500","2622360","2627180","2629130","2632360","2636130","2639000","2642810","2644140","2649410","2651170","2654090","2656230","2658080","2659800","2661780","2665460","2668420","2671240","2672880","2675570","2679110","2680230","2687180","2688930","2692660","2699910","2703940","2707700","2711210","2715550","2717670","2719710","2724290","2726400","2731690","2733510","2737100","2747160","2749660","2753520","2757100","2759210","2763020","2766910","2769950","2773360","2777990","2780460","2783530","2782560","2785270","2790770","2793110","2794810","2798500","2800770","2804980","2807540","2811510","2813130","2817940","2826880","2829130","2834660","2838960","2841910","2846080","2848250","2852630","2856230","2860080","2863060","2866030","2867910","2871170","2876620","2878000","2882670","2884970","2886010","2890360","2894930","2898100","2901600","2905540","2847130","2849310","2854960","2856850","2857310","2855200","2865040","2869350","2869680","2874330","2878390","2881150","2886850","2892060","2895920"
"Colorado : residential","number of customers","ELEC.CUSTOMERS.CO-RES.M","2213120","2216200","2219160","2220260","2221850","2223590","2224770","2227940","2230070","2233830","2237000","2240890","2247340","2250970","2251450","2253400","2255670","2258010","2259700","2264040","2265990","2268540","2271620","2274080","2275220","2277050","2279600","2281350","2283870","2284980","2287540","2290810","2292420","2299440","2302260","2305730","2310600","2314310","2316890","2319110","2322330","2324240","2326440","2330940","2333570","2338380","2341400","2345470","2354780","2357490","2360730","2362700","2364610","2367460","2370660","2373710","2376740","2381180","2384360","2387530","2385930","2388540","2391630","2393430","2395260","2398330","2399960","2403590","2405700","2410040","2412730","2419080","2425270","2429070","2433160","2436100","2438560","2441380","2443660","2447160","2450630","2454180","2457440","2460680","2465380","2467880","2471890","2472410","2475720","2477410","2479710","2482880","2487520","2491350","2495050","2499460","2442490","2444660","2449100","2450740","2451040","2447910","2456420","2460080","2461390","2465230","2469420","2472310","2477120","2481040","2483860"
"Colorado : commercial","number of customers","ELEC.CUSTOMERS.CO-COM.M","364478","364127","364781","365047","365196","366123","366013","366552","366644","366675","365471","365637","364171","362505","365065","366126","366723","368150","367737","368666","368502","369408","368654","368268","368988","369073","370009","370490","370728","371247","371381","371630","371229","371605","370709","371168","373472","373751","374903","375931","377065","377205","377110","377146","376668","377345","376484","376132","378460","378269","378862","380083","380116","381073","381511","381444","381862","382186","381694","381722","381700","381703","383977","384472","384207","384855","385466","386049","386576","386339","385159","383665","386627","385046","386365","387513","387973","389319","389166","390020","390145","390531","390353","390104","387586","388277","389625","390425","391793","392390","391292","392303","392224","391695","391554","391138","389813","389796","390912","391068","391461","392448","393677","394383","393437","394301","394184","394062","395013","396156","397196"
"Colorado : industrial","number of customers","ELEC.CUSTOMERS.CO-IND.M","15316","15321","15857","16608","16620","16682","16714","16693","16713","16344","16029","15835","15669","15649","15839","16601","16608","16646","16703","16707","16675","16144","15961","15724","15597","15658","15852","16583","16641","16654","16649","16665","16586","16132","15960","15759","15840","15874","15910","16163","16154","16223","16166","16198","16156","15967","15625","15499","13919","13907","13926","14317","14482","14486","14743","14796","14761","14617","14407","14269","14927","15017","15163","15206","15346","15306","15347","15339","15263","15131","15243","15194","14982","15014","15126","15346","15368","15387","15425","15449","15451","15372","15269","15243","14945","15010","15103","15167","15157","15166","15011","15174","15184","15050","14990","14939","14830","14846","14952","15040","14807","14849","14947","14891","14850","14793","14789","14778","14716","14855","14872"
"Colorado : transportation","number of customers","ELEC.CUSTOMERS.CO-TRA.M","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Colorado : other","number of customers","ELEC.CUSTOMERS.CO-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Idaho","number of customers","ELEC.CUSTOMERS.ID-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Idaho : all sectors","number of customers","ELEC.CUSTOMERS.ID-ALL.M","828715","840398","830666","831368","832611","833598","835203","835852","837706","838781","838895","841374","842972","844141","845900","846317","847657","848850","849859","851879","853483","853918","855322","856858","857319","858034","859997","860266","862143","863454","864901","866886","868063","870432","871441","873110","874659","875528","877313","878440","880118","881523","883201","885374","886589","888964","890168","891407","895439","895740","897801","899264","902059","902884","905799","907023","908873","912271","912415","914069","915870","916247","918685","921487","922621","924901","927193","928851","931171","932784","934609","937814","941039","942492","945269","948225","949912","952215","953892","956168","957895","960062","961477","963983","957870","961312","980790","970172","972525","974576","976231","978440","980612","981465","982933","985076","983426","983797","986807","987039","990705","991472","993661","996524","998179","1000370","1002040","1004160","1006210","1007090","1009080"
"Idaho : residential","number of customers","ELEC.CUSTOMERS.ID-RES.M","696196","704955","697588","697924","698887","699760","701134","701617","703289","704366","705038","706617","708724","709745","711226","711226","712253","713365","714180","715946","717403","717983","719483","720834","721329","721992","723653","723689","725042","726137","727531","729269","730406","732665","733847","735240","736644","737406","738975","739559","740924","742112","743654","745635","746758","749012","750497","751593","755882","756369","758100","759087","761331","762213","764726","765894","767644","770709","771255","772889","773701","774587","776272","778443","779417","781293","783290","784815","786818","788432","790445","793185","796377","797759","800228","802262","803782","805707","807119","809172","810713","812814","814478","816647","811814","814862","830311","821928","823836","825612","827143","828987","830996","831916","833440","835068","833807","834391","836375","836639","839585","840842","842453","844970","846734","848702","850651","852442","854236","855101","857022"
"Idaho : commercial","number of customers","ELEC.CUSTOMERS.ID-COM.M","105519","108280","105909","105896","106089","106117","106340","106459","106641","106616","106347","107215","106753","106896","107112","107196","107444","107490","107669","107848","108025","107907","108047","108226","108174","108233","108510","108484","108831","108964","109035","109231","109296","109501","109572","109753","109859","110089","110300","110385","110615","110780","110894","111070","111179","111443","111447","111463","111438","111289","111559","111619","112055","111961","112341","112400","112514","112952","112814","112693","113780","113296","114010","114173","114284","114627","114909","115035","115328","115494","115612","115916","116102","116174","116433","116902","117005","117312","117545","117738","117916","118186","118179","118396","117356","117740","121661","119056","119374","119560","119689","120010","120196","120286","120482","120831","120595","120420","121382","121026","121591","121055","121577","121910","121854","122138","122124","122360","122708","122749","122793"
"Idaho : industrial","number of customers","ELEC.CUSTOMERS.ID-IND.M","27000","27163","27169","27548","27635","27721","27729","27776","27776","27799","27510","27542","27495","27500","27562","27895","27960","27995","28010","28085","28055","28028","27792","27798","27816","27809","27834","28093","28270","28353","28335","28386","28361","28266","28022","28117","28156","28033","28038","28496","28579","28631","28653","28669","28652","28509","28224","28351","28119","28082","28142","28558","28673","28710","28732","28729","28715","28610","28346","28487","28389","28364","28403","28871","28920","28981","28994","29001","29025","28858","28552","28713","28560","28559","28608","29061","29125","29196","29228","29258","29266","29062","28820","28940","28700","28710","28818","29188","29315","29404","29399","29443","29420","29263","29011","29177","29024","28986","29050","29374","29529","29575","29631","29644","29591","29528","29260","29356","29265","29244","29265"
"Idaho : transportation","number of customers","ELEC.CUSTOMERS.ID-TRA.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Idaho : other","number of customers","ELEC.CUSTOMERS.ID-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Montana","number of customers","ELEC.CUSTOMERS.MT-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Montana : all sectors","number of customers","ELEC.CUSTOMERS.MT-ALL.M","600279","600524","601995","602475","604380","606606","607758","608128","608986","609035","607052","608215","607638","608413","610127","609568","611801","613931","614316","615903","616656","615970","614871","615838","615257","615584","617009","616509","619121","621449","622127","623819","623309","624322","622394","623287","623883","623552","624570","624782","626875","628845","630083","631607","631124","631785","629993","630510","631998","631401","632415","633338","636084","637195","639455","639050","639994","641849","638733","640040","639272","638908","639762","642330","643296","645845","647506","647933","648898","648725","646352","648434","648790","649558","651322","652331","654301","656958","658324","659744","659997","659628","658976","660128","660929","661295","662847","663326","666090","668077","669338","670777","671477","671116","670363","671977","671940","672074","673982","673849","676088","678442","679694","680999","681287","681720","681743","682399","683650","683402","684514"
"Montana : residential","number of customers","ELEC.CUSTOMERS.MT-RES.M","488371","488690","489835","490188","490405","491142","491639","491994","492883","493599","493425","494880","494106","494851","496135","495341","496190","496778","496723","498012","498703","498925","499584","500703","500480","500820","501900","501393","502401","502841","503057","504316","504057","505789","505947","506712","507187","507197","508023","507837","508529","508965","509547","510575","510280","511664","512083","512434","513880","513366","514191","514390","515351","515015","516277","515752","516658","519498","518667","519578","519330","519084","519730","521441","521041","521863","522987","523184","524061","524808","524725","526286","527164","527857","529266","529505","529904","530699","531517","532711","533173","533881","535070","535992","537063","537426","538709","538490","539471","539948","540583","541668","542492","543242","544260","545563","545831","545985","547649","547171","548098","549009","549765","550560","550955","552147","553685","554171","555483","555343","556312"
