description,units,source key,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01
Florida : commercial,number of customers,ELEC.CUSTOMERS.FL-COM.M,1167782,1172004,1177270,1179265,1180173,1181596,1180334,1189717,1188452,1185140,1202045,1195098,1185162,1189292,1195833,1189054,1205893,1199969,1197559,1206228,1203210,1200821,1218559,1207155,1209811,1208969,1214145,1210754,1215196,1216355,1216762,1218560,1218059,1216683,1230836,1227100,1210033,1224218,1234700,1227428,1228229,1229930,1230356,1230266,1233802,1229228,1237034,1239450,1224317,1225491,1235747,1244319,1238172,1238613,1234072,1251011,1244147,1243313,1256503,1255099,1242311,1242753,1256672,1262148,1252041,1256589,1256924,1257548,1258733,1260581,1268835,1263679,1257538,1250586,1280335,1272154,1272931,1267330,1285349,1267135,1277105,1277878,1271274,1295618,1266514,1277548,1280423,1280029,1281994,1283496,1283137,1285379,1286237,1286835,1287216,1287250,1281826,1282213,1283934,1282900,1285373,1286041,1285510,1286837,1285716,1287368,1287127,1286919,1289074,1290143,1290983,1293469,1294996
Florida : industrial,number of customers,ELEC.CUSTOMERS.FL-IND.M,18893,18960,19052,19206,19365,19596,19613,19787,19762,19674,19800,19786,20686,20882,20925,20918,21398,21389,21390,21453,21286,21199,21264,21159,21109,21107,21256,21333,21508,21566,21561,21536,21280,21151,21140,20924,21086,21109,21165,21195,21532,21647,21619,21569,21344,21214,21269,21178,23231,23224,23291,23490,23773,23971,24039,23973,23757,23469,23421,23305,22248,22229,22393,22453,22640,22835,22944,22905,22837,22607,22536,22410,22437,22219,22770,22772,23061,23287,23369,23373,23383,23147,23066,23530,22704,22837,23175,23202,23568,23902,24031,24183,24162,24080,24084,24124,25325,25419,25757,25940,26592,26715,26786,26967,26814,26709,26673,26899,26705,26721,26660,26843,27166
Florida : transportation,number of customers,ELEC.CUSTOMERS.FL-TRA.M,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Florida : other,number of customers,ELEC.CUSTOMERS.FL-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,number of customers,ELEC.CUSTOMERS.GA-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia : all sectors,number of customers,ELEC.CUSTOMERS.GA-ALL.M,4744081,4750666,4759014,4762349,4767435,4772846,4777320,4782598,4784466,4787720,4789876,4795740,4796344,4805377,4811086,4815630,4823102,4830072,4833411,4842901,4843827,4847936,4849418,4856409,4857546,4857875,4878119,4877148,4888912,4895493,4900134,4907633,4908354,4911462,4915025,4917631,4928485,4923721,4933232,4942657,4949670,4956022,4955735,4970738,4972481,4978749,4981364,4985789,4985080,4989351,4998275,5005484,5012427,5018276,5026410,5032643,5036324,5043733,5048726,5050870,5057249,5058669,5078237,5080880,5087335,5103850,5111723,5118084,5125671,5135312,5139510,5145095,5137400,5085435,5179547,5172561,5183297,5192272,5195402,5204792,5208557,5210009,5223131,5225515,5239001,5231871,5263372,5261327,5268683,5278970,5284476,5296001,5301121,5307944,5314674,5319921,5319652,5318764,5335243,5339047,5350837,5361053,5368390,5381325,5385154,5394066,5398154,5403105,5415062,5419475,5424852,5437591,5449285
Georgia : residential,number of customers,ELEC.CUSTOMERS.GA-RES.M,4166765,4173765,4180899,4183177,4187586,4191569,4193548,4198496,4199695,4202964,4205210,4210801,4211329,4219008,4224125,4228064,4233906,4239970,4243123,4251756,4253440,4257051,4258276,4265004,4265029,4266399,4283419,4284369,4292870,4298651,4302857,4309822,4310944,4313277,4316738,4319333,4329363,4325497,4333117,4341636,4347019,4352844,4351549,4366111,4368410,4374171,4377131,4381394,4379490,4383442,4391586,4398054,4403756,4409565,4416408,4422150,4426033,4432708,4436588,4438466,4444607,4445537,4461069,4466261,4473315,4487986,4495031,4501245,4508783,4517512,4521516,4526251,4518623,4473453,4557102,4549721,4559496,4566150,4569305,4577516,4581297,4583356,4594940,4596869,4611835,4605401,4632811,4631333,4637161,4645915,4651583,4661654,4666875,4674334,4681133,4686751,4688045,4688578,4703574,4707951,4716969,4726213,4733640,4745223,4750441,4758407,4763268,4768296,4779325,4783383,4788391,4799263,4809301
Georgia : commercial,number of customers,ELEC.CUSTOMERS.GA-COM.M,557018,556699,557787,558601,559058,560087,562576,562941,563766,564137,564187,564512,563729,564946,565583,566167,567051,567902,568051,569086,568425,569115,569376,569685,569885,568965,571909,569752,572614,573185,573570,574159,574192,575179,575389,575490,576450,575669,577489,578207,579110,579479,580437,580980,580923,581689,581440,581730,582519,582943,583683,584166,584887,584638,585725,586253,586283,587568,588876,589341,589236,589808,593595,591044,589996,591511,592208,592500,592702,594090,594525,595406,595260,588927,598517,598859,599323,601171,601346,602358,602542,602571,604054,604609,603529,603107,606714,606245,607213,608239,608040,609504,609740,609532,609653,609404,608068,606745,608015,607462,609430,610343,610277,611447,610431,611745,611158,610854,612215,612588,613015,614517,615578
Georgia : industrial,number of customers,ELEC.CUSTOMERS.GA-IND.M,20297,20201,20327,20570,20790,21189,21195,21160,21004,20618,20478,20426,21285,21422,21377,21398,22144,22199,22236,22058,21961,21769,21765,21719,22631,22510,22790,23026,23427,23656,23706,23651,23217,23005,22897,22807,22671,22554,22625,22813,23540,23698,23748,23646,23147,22888,22792,22664,23070,22965,23005,23263,23783,24072,24276,24239,24007,23456,23261,23062,23405,23323,23572,23574,24023,24352,24483,24338,24185,23709,23468,23437,23516,23054,23927,23980,24477,24950,24750,24917,24717,24081,24136,24036,23636,23362,23846,23748,24308,24815,24852,24842,24505,24077,23887,23765,23538,23440,23653,23633,24437,24496,24472,24654,24281,23913,23727,23954,23521,23503,23445,23810,24405
Georgia : transportation,number of customers,ELEC.CUSTOMERS.GA-TRA.M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Georgia : other,number of customers,ELEC.CUSTOMERS.GA-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maryland,number of customers,ELEC.CUSTOMERS.MD-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland : all sectors,number of customers,ELEC.CUSTOMERS.MD-ALL.M,2474151,2498488,2509299,2514681,2512160,2513253,2517197,2518561,2519478,2522534,2525623,2537347,2538333,2542011,2543164,2543312,2543953,2545151,2547013,2551021,2551770,2553767,2556451,2560834,2564281,2566423,2570372,2570574,2572584,2573750,2575803,2577962,2578981,2579442,2582760,2586010,2588165,2589715,2590644,2591258,2592211,2593589,2594981,2597695,2598210,2600462,2603298,2605577,2608994,2610941,2612278,2613443,2615259,2615336,2618392,2618992,2621576,2623023,2625428,2627997,2629368,2630996,2633989,2635542,2638525,2641891,2645721,2648234,2648652,2650925,2652972,2655460,2654668,2656500,2659275,2660332,2659843,2662358,2663325,2664894,2666452,2667453,2668783,2670867,2674025,2677863,2680552,2682572,2684249,2686323,2686156,2687714,2689087,2691085,2693393,2694345,2691300,2693769,2696394,2695902,2696090,2697099,2698194,2699892,2701608,2703609,2707669,2709618,2711477,2712388,2715097,2716439,2716872
Maryland : residential,number of customers,ELEC.CUSTOMERS.MD-RES.M,2220258,2241778,2251038,2256112,2253858,2254665,2259012,2259975,2260720,2264171,2267375,2277726,2279268,2282975,2283479,2283830,2284086,2285292,2287004,2291171,2292159,2293762,2296315,2300273,2303479,2305450,2309054,2309536,2310479,2311963,2313799,2315947,2317034,2317486,2320864,2323159,2325842,2327386,2328243,2328851,2329127,2330877,2332121,2334644,2334820,2337029,2339731,2341515,2344416,2346397,2347651,2348872,2350106,2350355,2353041,2354066,2356062,2357782,2359653,2362008,2363987,2365592,2367789,2370460,2373143,2376509,2379833,2381765,2382949,2385182,2387110,2389453,2388445,2390324,2392661,2393622,2393531,2395605,2396463,2397865,2399252,2399931,2400901,2402830,2405067,2408665,2410954,2412779,2414279,2416109,2415891,2417323,2418685,2420843,2423091,2424156,2421516,2423960,2426467,2425944,2426004,2427170,2428046,2429658,2431160,2433154,2437098,2438664,2440693,2441731,2444210,2445496,2445837
Maryland : commercial,number of customers,ELEC.CUSTOMERS.MD-COM.M,245110,247913,249451,249758,249494,249760,249373,249760,249665,249620,249466,250794,250251,250235,250848,250649,251120,251024,251175,251007,250780,251157,251287,251706,252051,252214,252555,252291,253325,253031,253247,253253,253181,253202,253153,254079,253530,253538,253610,253609,254270,253916,254060,254247,254566,254616,254750,255238,255664,255622,255701,255643,256201,256036,256395,255995,256554,256314,256824,257028,256428,256448,257218,256127,256409,256419,256904,257460,256732,256777,256892,257038,257241,257195,257620,257702,257330,257756,257870,258028,258203,258516,258868,259031,259811,260054,260439,260638,260820,261049,261094,261218,261223,261070,261137,261030,260758,260765,260870,260903,261025,260854,261069,261164,261375,261378,261485,261857,261697,261571,261802,261858,261960
Maryland : industrial,number of customers,ELEC.CUSTOMERS.MD-IND.M,8778,8792,8805,8806,8803,8823,8807,8821,9088,8738,8777,8822,8809,8796,8832,8828,8742,8830,8829,8838,8826,8843,8844,8850,8746,8754,8758,8742,8775,8751,8752,8757,8761,8749,8738,8767,8788,8786,8786,8793,8809,8791,8795,8799,8819,8812,8812,8819,8909,8917,8921,8923,8947,8940,8951,8926,8955,8922,8946,8956,8948,8951,8977,8950,8968,8958,8979,9004,8966,8961,8965,8964,8977,8976,8989,9003,8977,8992,8987,8996,8992,9001,9009,9001,9142,9139,9154,9150,9145,9160,9166,9168,9174,9167,9160,9154,9021,9039,9052,9050,9056,9070,9074,9065,9068,9072,9081,9092,9082,9081,9080,9080,9070
Maryland : transportation,number of customers,ELEC.CUSTOMERS.MD-TRA.M,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Maryland : other,number of customers,ELEC.CUSTOMERS.MD-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Carolina,number of customers,ELEC.CUSTOMERS.NC-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina : all sectors,number of customers,ELEC.CUSTOMERS.NC-ALL.M,4983633,4991136,4996346,4997687,5002093,5009287,5016216,5021473,5026563,5030277,5032269,5039118,5072880,5081449,5085994,5091469,5096206,5103972,5110270,5119647,5122082,5126017,5127912,5136412,5143296,5143972,5160488,5159248,5171245,5178967,5185939,5192775,5193623,5200670,5206968,5211350,5220354,5217539,5226743,5233133,5240029,5249772,5251336,5265804,5268828,5277753,5283138,5290908,5295071,5303512,5308788,5315688,5324819,5339800,5343031,5349948,5354707,5360065,5368334,5372023,5363080,5364933,5383418,5387226,5395649,5412133,5424873,5437625,5445541,5452472,5453740,5460841,5460291,5425757,5498985,5513795,5438169,5546165,5556777,5567534,5569565,5574730,5443212,5593245,5430161,5607049,5622241,5588600,5598922,5607531,5607435,5623792,5630348,5637671,5646007,5652288,5665165,5667761,5684064,5688260,5701116,5713314,5723594,5736457,5741851,5755394,5764350,5769882,5782545,5791834,5800203,5814262,5824999
North Carolina : residential,number of customers,ELEC.CUSTOMERS.NC-RES.M,4316761,4324518,4327436,4328222,4331618,4337490,4335061,4339723,4344017,4347967,4350576,4356942,4395598,4402666,4406254,4410884,4414400,4421008,4426531,4434451,4437007,4440423,4442469,4450656,4456742,4457789,4471491,4471464,4480678,4487533,4493681,4499910,4500701,4506786,4512579,4517076,4524579,4522175,4529401,4534341,4540016,4549249,4549824,4563047,4562100,4570595,4576032,4583644,4584651,4592680,4596755,4602713,4610067,4624944,4626972,4633660,4637941,4642493,4647034,4650356,4646430,4647852,4662477,4670238,4678717,4693115,4704674,4716320,4723500,4729563,4730902,4737306,4733597,4704803,4767929,4774669,4703852,4798220,4806232,4816070,4816782,4821491,4712982,4838442,4703413,4854867,4867371,4839145,4848048,4856093,4862352,4872174,4879131,4886838,4895533,4902903,4915052,4917926,4934177,4939332,4951015,4962336,4972002,4984070,4990305,5003089,5011595,5017625,5029220,5038239,5046656,5059458,5069420
North Carolina : commercial,number of customers,ELEC.CUSTOMERS.NC-COM.M,656594,656373,658653,659176,660164,661436,670797,671409,672243,672050,671463,671960,667218,668714,669690,670541,671691,672838,673614,675110,675048,675596,675454,675780,676553,676209,678965,677741,680472,681308,682133,682754,682879,683864,684384,684295,685778,685419,687377,688806,689921,690401,691391,692640,696696,697152,697126,697303,700555,701014,702206,703132,704840,704918,706104,706350,706858,707725,711478,711874,706839,707297,711141,707195,707091,709134,710303,711424,712182,713112,713067,713774,717132,711475,721468,729616,724934,738360,740895,741765,743132,743658,720826,745054,718452,743185,745624,740254,741616,742119,735778,742321,741971,741587,741241,740167,740867,740613,740646,739691,740777,741658,742273,743041,742298,743116,743616,743096,744224,744512,744465,745697,746409
North Carolina : industrial,number of customers,ELEC.CUSTOMERS.NC-IND.M,10277,10244,10256,10288,10310,10360,10357,10340,10302,10259,10229,10215,10063,10068,10049,10043,10114,10125,10124,10085,10026,9997,9988,9975,10000,9973,10031,10042,10094,10125,10124,10110,10042,10019,10004,9978,9996,9944,9964,9985,10091,10121,10120,10116,10031,10005,9979,9960,9864,9817,9826,9842,9911,9937,9954,9937,9907,9846,9821,9792,9810,9783,9799,9792,9840,9883,9895,9880,9858,9796,9770,9760,9561,9478,9587,9509,9382,9584,9649,9698,9650,9580,9403,9748,8295,8996,9245,9200,9257,9318,9304,9296,9245,9245,9232,9217,9245,9221,9240,9236,9323,9319,9318,9345,9247,9188,9138,9160,9100,9082,9081,9106,9169
North Carolina : transportation,number of customers,ELEC.CUSTOMERS.NC-TRA.M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
North Carolina : other,number of customers,ELEC.CUSTOMERS.NC-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Carolina,number of customers,ELEC.CUSTOMERS.SC-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina : all sectors,number of customers,ELEC.CUSTOMERS.SC-ALL.M,2529774,2532487,2538025,2539636,2542492,2548160,2553043,2554875,2556534,2559083,2559431,2562190,2562959,2567628,2572469,2574725,2578814,2584600,2585992,2592556,2591400,2593178,2595476,2599251,2607864,2608224,2620098,2612263,2627702,2633315,2635059,2639287,2635952,2641369,2642467,2644462,2653271,2651272,2657062,2661267,2666741,2670965,2672955,2681667,2677524,2684180,2691528,2687986,2694434,2697815,2704222,2708892,2715164,2719440,2727487,2728855,2730679,2735220,2736774,2739677,2746171,2747249,2759230,2760293,2764534,2776362,2784581,2788020,2792441,2797458,2796070,2799795,2798622,2778830,2823602,2824459,2811851,2843378,2847154,2855194,2855067,2850608,2831530,2867985,2830770,2859847,2882775,2867188,2868358,2887760,2879647,2890620,2894153,2890693,2904108,2902460,2899190,2902032,2919711,2915784,2916443,2948160,2939163,2953573,2948365,2936126,2974582,2952063,2966851,2979726,2959147,2983596,2944263
South Carolina : residential,number of customers,ELEC.CUSTOMERS.SC-RES.M,2170268,2172912,2178326,2179029,2181643,2186183,2190166,2191612,2192785,2195250,2195552,2197862,2191913,2195887,2200143,2202294,2205673,2210961,2212102,2217658,2218245,2218446,2220293,2223750,2232576,2233320,2243322,2241768,2249921,2254841,2256611,2260541,2257333,2261684,2262511,2264249,2274335,2272709,2277670,2281255,2286044,2289931,2291094,2299265,2295586,2301540,2307864,2305108,2308747,2311875,2317562,2321538,2327382,2331641,2337198,2338504,2340323,2343704,2344877,2347463,2350110,2350844,2360367,2362613,2366937,2377399,2385070,2388209,2392412,2396686,2395367,2398217,2399440,2382828,2421466,2419709,2408601,2435413,2438430,2445456,2445022,2440938,2426729,2456379,2429218,2453386,2473571,2460754,2461330,2478778,2473680,2481654,2485490,2481435,2494329,2493535,2489411,2491597,2507756,2505021,2505707,2533492,2527590,2541588,2538834,2527851,2561968,2542771,2555717,2567066,2548994,2569923,2535737
South Carolina : commercial,number of customers,ELEC.CUSTOMERS.SC-COM.M,355221,355292,355405,356296,356518,357619,358518,358901,359464,359632,359671,360129,367009,367687,368276,368382,369031,369533,369783,370811,369087,370683,371147,371470,370943,370575,372415,366118,373359,374036,374005,374315,374232,375327,375620,375883,374661,374268,375110,375711,376319,376646,377470,378033,377624,378346,379312,378612,381984,382237,382991,383675,384078,384077,386544,386623,386642,387823,388215,388533,392361,392714,395162,393974,393871,395213,395764,396073,396298,397071,397016,397895,395523,392372,398441,401182,399625,404349,405012,406017,406330,405999,401193,407986,398127,402915,405581,402807,403361,405286,402262,405268,404993,405595,406110,405276,406219,406887,408399,407208,407128,411047,407962,408362,405951,404727,409068,405742,407606,409114,406630,410132,404961
South Carolina : industrial,number of customers,ELEC.CUSTOMERS.SC-IND.M,4285,4283,4294,4311,4331,4358,4359,4362,4285,4201,4208,4199,4037,4054,4050,4049,4110,4106,4107,4087,4068,4049,4036,4031,4345,4329,4361,4377,4422,4438,4443,4431,4387,4358,4336,4330,4275,4295,4282,4301,4378,4388,4391,4369,4314,4294,4352,4266,3703,3703,3669,3679,3704,3722,3745,3728,3714,3693,3682,3681,3700,3691,3701,3706,3726,3750,3747,3738,3731,3701,3687,3683,3659,3630,3695,3568,3625,3616,3712,3721,3715,3671,3608,3620,3425,3546,3623,3627,3667,3696,3705,3698,3670,3663,3669,3649,3560,3548,3556,3555,3608,3621,3611,3623,3580,3548,3546,3550,3528,3546,3523,3541,3565
South Carolina : transportation,number of customers,ELEC.CUSTOMERS.SC-TRA.M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina : other,number of customers,ELEC.CUSTOMERS.SC-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Virginia,number of customers,ELEC.CUSTOMERS.VA-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia : all sectors,number of customers,ELEC.CUSTOMERS.VA-ALL.M,3772498,3776156,3776860,3776249,3530445,3781577,3784971,3789059,3790870,3792996,3796106,3802196,3782836,3785239,3787052,3788377,3790746,3794721,3798121,3805099,3805165,3806757,3810482,3816244,3806548,3810779,3818185,3817387,3821513,3825919,3829607,3827843,3827682,3831783,3835845,3840628,3854251,3852373,3856391,3858512,3859559,3863801,3866049,3872579,3872699,3875895,3879972,3883965,3885897,3887785,3891026,3893178,3896259,3898730,3904830,3908464,3910962,3914949,3918942,3919863,3922173,3923987,3931624,3934006,3938403,3947025,3952964,3957144,3961149,3965152,3969279,3973251,3971325,3959652,3987239,3987509,3992563,3998387,4002196,4007207,4010343,4013715,4019269,4020365,4008130,4007306,4015091,4014266,4016469,4020949,4024437,4031525,4033691,4035377,4040951,4044863,4070280,4070435,4079833,4081639,4073538,4085705,4088134,4120365,4090083,4107430,4105712,4111450,4119191,4121231,4121875,4126833,4132615
Virginia : residential,number of customers,ELEC.CUSTOMERS.VA-RES.M,3322142,3325693,3325538,3324858,3326135,3329373,3331691,3335103,3336570,3338877,3341680,3347319,3349631,3351775,3353391,3354414,3356547,3359959,3363137,3369563,3369844,3371342,3375283,3380931,3380652,3385487,3392032,3391952,3395489,3399654,3403213,3402289,3402134,3405724,3409557,3414160,3420559,3419165,3422530,3424379,3425429,3429127,3430885,3437024,3437276,3440256,3444237,3448028,3449453,3451231,3454148,3455941,3458781,3461070,3466707,3470196,3472538,3476071,3479596,3480381,3482885,3484488,3490829,3493907,3498143,3505979,3511323,3515544,3519317,3523023,3526651,3530039,3528110,3517951,3542519,3542697,3547423,3552175,3555647,3559882,3562972,3565902,3570855,3572225,3569106,3568093,3574837,3574431,3576002,3579973,3583484,3589735,3591539,3593030,3598275,3601932,3618436,3619002,3627378,3628562,3623627,3635223,3633034,3667163,3637395,3654806,3650002,3655480,3663153,3665479,3666575,3670665,3676008
Virginia : commercial,number of customers,ELEC.CUSTOMERS.VA-COM.M,446665,446762,447609,447669,200600,448464,449544,450216,450573,450417,450733,451177,429511,429751,429955,430256,430468,431033,431253,431816,431628,431713,431507,431621,422231,421616,422454,421735,422304,422540,422666,421852,421869,422369,422612,422788,429987,429517,430171,430436,430434,430944,431432,431820,431728,431942,432022,432255,432729,432844,433178,433532,433747,433918,434371,434503,434691,435166,435627,435784,435585,435799,437076,436392,436547,437308,437903,437874,438111,438683,438950,439487,439540,438033,441022,441133,441449,442496,442850,443619,443682,444127,444737,444461,435381,435576,436603,436200,436796,437300,437286,438108,438450,438675,439013,439274,448168,447768,448776,449393,446231,446786,451393,449458,448931,448862,451895,452122,452237,451847,451412,452242,452637
Virginia : industrial,number of customers,ELEC.CUSTOMERS.VA-IND.M,3690,3700,3712,3721,3709,3739,3735,3739,3726,3701,3692,3699,3693,3712,3705,3706,3730,3728,3730,3719,3692,3701,3691,3691,3664,3675,3698,3699,3719,3724,3727,3701,3678,3689,3675,3679,3704,3690,3689,3696,3695,3729,3731,3734,3694,3696,3712,3681,3714,3709,3699,3704,3730,3741,3751,3764,3732,3711,3718,3697,3702,3699,3718,3706,3712,3737,3737,3725,3720,3445,3677,3724,3674,3667,3697,3678,3690,3715,3698,3705,3688,3685,3676,3678,3642,3636,3650,3634,3670,3675,3666,3681,3701,3671,3662,3656,3675,3664,3678,3683,3679,3695,3706,3743,3756,3761,3814,3847,3800,3904,3887,3925,3969
Virginia : transportation,number of customers,ELEC.CUSTOMERS.VA-TRA.M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
