DATE,CAPUTLG3311A2S
2004-12-01,94.0276
2005-01-01,92.6143
2005-02-01,91.5728
2005-03-01,89.1656
2005-04-01,86.2733
2005-05-01,82.464
2005-06-01,79.9079
2005-07-01,77.8474
2005-08-01,84.1483
2005-09-01,85.4845
2005-10-01,85.2865
2005-11-01,90.3112
2005-12-01,90.9585
2006-01-01,90.198
2006-02-01,91.4754
2006-03-01,92.3917
2006-04-01,92.0314
2006-05-01,94.5581
2006-06-01,93.4538
2006-07-01,89.1057
2006-08-01,89.4987
2006-09-01,89.2234
2006-10-01,83.7076
2006-11-01,82.2585
2006-12-01,79.3063
2007-01-01,84.7114
2007-02-01,84.1474
2007-03-01,84.9229
2007-04-01,85.9693
2007-05-01,85.2608
2007-06-01,84.1713
2007-07-01,84.8156
2007-08-01,84.3985
2007-09-01,81.9692
2007-10-01,87.9361
2007-11-01,91.2226
2007-12-01,91.9898
2008-01-01,92.5445
2008-02-01,92.6723
2008-03-01,89.979
2008-04-01,92.7788
2008-05-01,89.2068
2008-06-01,88.4297
2008-07-01,90.3932
2008-08-01,87.0214
2008-09-01,80.5639
2008-10-01,70.4081
2008-11-01,56.3076
2008-12-01,46.5403
2009-01-01,44.684
2009-02-01,45.0162
2009-03-01,40.6815
2009-04-01,40.1687
2009-05-01,41.3864
2009-06-01,45.1842
2009-07-01,52.2707
2009-08-01,55.3953
2009-09-01,59.3344
2009-10-01,62.541
2009-11-01,62.7889
2009-12-01,64.9727
2010-01-01,65.8458
2010-02-01,68.88
2010-03-01,73.0948
2010-04-01,71.4931
2010-05-01,73.4903
2010-06-01,71.9629
2010-07-01,65.8102
2010-08-01,66.8246
2010-09-01,69.4286
2010-10-01,67.3155
2010-11-01,70.7513
2010-12-01,73.2935
2011-01-01,74.2577
2011-02-01,74.2922
2011-03-01,75.1276
2011-04-01,73.1893
2011-05-01,72.3061
2011-06-01,74.6927
2011-07-01,74.3843
2011-08-01,76.4846
2011-09-01,76.2697
2011-10-01,77.2091
2011-11-01,77.6729
2011-12-01,80.9972
2012-01-01,79.3982
2012-02-01,81.1387
2012-03-01,78.6282
2012-04-01,79.8683
2012-05-01,78.6141
2012-06-01,74.9612
2012-07-01,74.5305
2012-08-01,76.3572
2012-09-01,70.5012
2012-10-01,71.4474
2012-11-01,75.7634
2012-12-01,77.2964
2013-01-01,78.6756
2013-02-01,78.2778
2013-03-01,77.0813
2013-04-01,78.1408
2013-05-01,78.2572
2013-06-01,77.0994
2013-07-01,79.7736
2013-08-01,78.5866
2013-09-01,78.79
2013-10-01,80.8998
2013-11-01,79.5143
2013-12-01,77.7185
2014-01-01,75.9134
2014-02-01,77.7646
2014-03-01,77.8122
2014-04-01,78.3654
2014-05-01,78.1094
2014-06-01,79.0126
2014-07-01,80.3544
2014-08-01,79.2784
2014-09-01,81.6228
2014-10-01,81.5196
2014-11-01,80.6325
2014-12-01,81.6659
2015-01-01,77.2592
2015-02-01,72.2302
2015-03-01,69.5107
2015-04-01,70.8895
2015-05-01,70.908
2015-06-01,75.7617
2015-07-01,75.1442
2015-08-01,72.4625
2015-09-01,72.1747
2015-10-01,71.8585
2015-11-01,67.1539
2015-12-01,67.2677
2016-01-01,68.7673
2016-02-01,70.7427
2016-03-01,71.6388
2016-04-01,71.4546
2016-05-01,73.0517
2016-06-01,73.2707
2016-07-01,70.6866
2016-08-01,70.2379
2016-09-01,68.1338
2016-10-01,66.6168
2016-11-01,69.5588
2016-12-01,72.4277
2017-01-01,74.8124
2017-02-01,73.7677
2017-03-01,72.6206
2017-04-01,72.7338
2017-05-01,72.2368
2017-06-01,72.7963
